Reach,Ingoings,Outgoings,Split Ratio,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,BMPs
11,,22,,51.530445,40.10069859812,58.439682353,82.66667480000001,92.198242,139.8623195,84.990237,204.680232,138.9130018,62.726602,40.683728,95.58781420000001,133.3963014,90.79308130999999,18.107250179699996,63.6819539029,78.1500012,37.525157648100006,111.380438,34.18460209,109.553358,23.0534427435,72.1703523,43.03183087119,59.038820989,104.2265706,124.85167919999999,168.46135880000003,109.170862,230.35019350000002,174.5868862,95.904904,59.1628052,120.5566053,174.12838749999997,118.4107194,19.8678479,77.43432609191,111.98896280000001,56.8909173065,180.648779,51.5634966,162.4080091,30.525731618499997, BMP21_11 BMP22_11 BMP23_11 BMP24_11 BMP25_11
12,,34,,68.75989999999999,47.78460001331,57.710558764,172.291,117.63375,300.74036700000005,96.241918,103.43249,158.82090939999998,200.24120022360003,53.10029619,120.97811999999999,117.74754899999999,170.37738384,25.81081394179,86.99139041889998,133.62354000000002,49.5632157356,277.00521000000003,83.312304,191.2536137,27.392839006100004,105.61971600000001,50.71716000000001,53.43787923000001,180.775595,154.471734,321.13061100000004,110.38298999999999,121.55678800000001,172.0475681,290.287692,79.2076946,132.35211,155.330326,195.6366078,35.971205,102.24172300000001,164.424319,65.3413911178,310.64517099999995,121.13607300000001,234.57077594999998,30.6784379319, BMP21_12 BMP22_12 BMP23_12 BMP24_12 BMP25_12
13,,22,,68.64746000000001,44.4219089187,70.73295976,98.522429,92.285953,174.26079149999998,121.85339,243.283827,205.21098999999998,77.07283,52.886298000000004,125.92475400000001,189.460136,122.4833006,25.898593035999998,84.2689587814,105.82134599999999,44.3227987096,138.98085999999998,48.889329159,137.12959,31.440133165200002,67.040944,39.74323376,57.975591189999996,96.743295,96.788324,158.447891,119.72424099999999,240.760369,215.06133099999997,89.59790799999999,58.56783299999999,121.70315199999999,209.415835,124.302111,23.1175748,75.59379316232,116.330636,56.477960113,167.20299,50.08719532,146.46883599999998,34.0032513436, BMP26_13 BMP27_13 BMP28_13 BMP29_13 BMP30_13 BMP31_13 BMP32_13 BMP33_13 BMP34_13
14,,20,,200.27551,171.680451,206.452290809,259.874402,204.02691620000002,190.7297733,259.51166,223.3388934,231.416366,146.511524,129.8881134805,179.970031,159.380562,183.1916239733,114.612599,178.4112223,169.18214799999998,136.32019600000004,172.48368599999998,139.856565,190.138356,144.02928060440001,161.48068,132.40093,146.409715635,216.13367000000002,172.36103500000002,143.825558,220.78376,215.914886,207.31503999999998,91.060598,64.26831922929999,98.47688000000001,92.38402400000001,112.49394900000001,52.266676999999994,98.909349,92.214692,68.20823599999999,93.60138,67.433138,121.25212500000002,68.55726171209999, BMP26_14 BMP27_14 BMP28_14 BMP29_14 BMP30_14 BMP31_14 BMP32_14 BMP33_14 BMP34_14
15,,28,,418.85179999999997,415.86589000000004,259.27523027210003,523.316897,506.125883,501.765932,580.12571,473.20134,626.2932,469.57473,334.5632322359,539.6167837,565.9591000000001,502.42656611999996,332.355397,602.677922,506.39593,398.93946,652.74794,418.097668,621.4125700000001,388.162849,397.7563,368.53,194.20819230430004,402.11591599999997,398.75717,386.18904999999995,520.56278,440.78974,616.7316,453.26189999999997,286.3192613273,442.614675,540.0034,450.70890800000006,261.50637,516.9502,423.84225,332.10547,601.2169,390.27259999999995,677.4791300000002,319.164484, BMP26_15 BMP27_15 BMP28_15 BMP29_15 BMP30_15 BMP31_15 BMP32_15 BMP33_15 BMP34_15
16,2 16_0,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16_0,,16,,22.310939999999988,17.84863998579999,33.51466553999997,62.64640026999996,43.27302999999998,58.458698000000055,65.115126,69.54324899999997,52.87515000000002,58.915250000000015,70.51087907920001,55.02880330000002,26.548579479999972,48.8016641024,31.485636367799998,34.15832,35.86792969999996,16.709876373399993,200.18673,41.4216337,58.7932179,15.190092965200009,21.590405500000003,14.061972392899989,26.446965200000008,47.012656270000036,44.08154860000005,51.75946739999995,54.20599060000001,56.43828600000003,48.595867399999946,79.08074430000002,68.32239943566003,42.14676219999998,21.784522800000005,38.983434509999995,32.00524394629002,27.948960299999996,27.19813819999999,12.099898005389996,177.96243690000003,46.94060400000002,56.79849699999994,10.460111506099992, BMP26_16 BMP27_16 BMP28_16 BMP29_16 BMP30_16 BMP31_16 BMP32_16 BMP33_16 BMP34_16
17,,24,,323.994,309.64196,286.57958902999997,401.98541000000006,360.648886,361.40184000000005,379.28870759999995,368.94658,433.16,327.30728,187.8528916075,300.555328531,269.87645380000004,280.01725288000006,180.4297210806,323.1666,271.807222,226.67035127,313.69213,222.35087299999998,330.80928090000003,225.93563100000003,307.20309000000003,277.55440000000004,214.47881309999997,329.14807999999994,306.69175,294.25125999999995,338.39857300000006,346.72501,431.09159999999997,288.23901,104.90460520529999,177.29589020000003,171.186164,168.7717529,91.5078783707,196.94384,160.39888,130.99792959,204.98311,126.13773199999999,247.0954,118.0184121, BMP26_17 BMP27_17 BMP28_17 BMP29_17 BMP30_17 BMP31_17 BMP32_17 BMP33_17 BMP34_17
18,,30,,357.7362,354.58103000000006,217.587875884,530.13725,434.0509786,408.323633,571.69487,389.47234000000003,569.56363,371.68252,279.69294244170004,504.82985130000003,512.49964,440.55756936,287.30192,523.483756,442.838764,343.81607,568.5359100000001,373.9796139,511.44376,359.76091604,307.6935,279.44633999999996,152.43964412999998,377.34469,322.34558899999996,286.74421000000007,460.60653,347.64107,523.8756,299.77880999999996,223.0787013125,379.28419499999995,482.95980000000003,382.71289871000005,213.1466,426.56162,346.25055,265.20009999999996,479.95719999999994,325.97179,521.0572999999999,279.95538220000003, BMP26_18 BMP27_18 BMP28_18 BMP29_18 BMP30_18 BMP31_18 BMP32_18 BMP33_18 BMP34_18
19,,25,,324.99162,289.12650410000003,313.56776094,402.6699,348.70423,345.97905000000003,362.86830000000003,373.83527000000004,411.20029999999997,333.30763,247.37729914,317.73924299999993,320.4380714,294.304724086,191.6701918864,419.48654999999997,319.26099899999997,241.48982999999998,365.38842000000005,233.373391,427.358401,271.2514445,285.5102,233.097182,237.2900058,318.95115999999996,283.55836,271.55126,299.35855000000004,329.75749999999994,375.9372,287.95450999999997,173.46347040000003,214.03924999999998,232.004626,194.68860460000002,118.7249152279,284.6381,211.34878,163.54776,260.80442,147.033862,330.83867999999995,169.871464, BMP26_19 BMP27_19 BMP28_19 BMP29_19 BMP30_19 BMP31_19 BMP32_19 BMP33_19 BMP34_19
