BMPs,Cost,P_LB,N_LB,P_UB,N_UB
BMP29_15,441586200.0,77.0468249747873,36.92630528248695,77.0468249747873,36.92630528248695
BMP30_15,264951720.0,58.38588815956158,12.064834612917535,58.38588815956158,12.064834612917535
BMP31_15,441586200.0,29.974191567010696,29.657736888639086,29.974191567010696,29.657736888639086
BMP32_15,441586200.0,58.05954427249086,11.97583173462552,58.05954427249086,11.97583173462552
BMP33_15,88317240.0,9.98810078610386,9.879319490413621,9.98810078610386,9.879319490413621
BMP34_15,618220680.0,63.24148963082593,20.747559850738515,63.24148963082593,20.747559850738515
BMP26_16,1621488.0,3.3953812564910124,4.556382589355681,3.3953812564910124,4.556382589355681
BMP27_16,44590920.0,11.929836337322616,11.312096005496509,11.929836337322616,11.312096005496509
BMP28_16,21890088.0,33.081966280985334,13.384373856232314,33.081966280985334,13.384373856232314
BMP29_16,20268600.0,34.13343918622126,16.359165950628956,34.13343918622126,16.359165950628956
BMP30_16,12161160.0,25.866233468803788,5.344987268282625,25.866233468803788,5.344987268282625
BMP31_16,20268600.0,13.27922656570872,13.13903017834393,13.27922656570872,13.13903017834393
BMP32_16,20268600.0,25.72165594433385,5.305557034336278,25.72165594433385,5.305557034336278
BMP33_16,4053720.0,4.42494847620119,4.376755968044543,4.42494847620119,4.376755968044543
BMP34_16,28376040.0,28.01737178743229,9.191625646604058,28.01737178743229,9.191625646604058
BMP26_17,25092144.0,7.75,10.4,7.75,10.4
BMP27_17,690033960.0,27.23,25.82,27.23,25.82
BMP28_17,338743944.0,75.51,30.55,75.51,30.55
BMP29_17,313651800.0,77.91,37.34,77.91,37.34
BMP30_17,188191080.0,59.04,12.2,59.04,12.2
BMP31_17,313651800.0,30.31,29.99,30.31,29.99
BMP32_17,313651800.0,58.71,12.11,58.71,12.11
BMP33_17,62730360.0,10.1,9.99,10.1,9.99
BMP34_17,439112520.0,63.95,20.98,63.95,20.98
BMP26_18,29484576.0,7.366660694893621,9.88558338411531,7.366660694893621,9.88558338411531
BMP27_18,810825840.0,25.883118802832684,24.542861824793974,25.883118802832684,24.542861824793974
BMP28_18,398041776.0,71.7750385898603,29.038901190838725,71.7750385898603,29.038901190838725
BMP29_18,368557200.0,74.05632706311768,35.4930464964294,74.05632706311768,35.4930464964294
BMP30_18,221134320.0,56.119696442131534,11.596549739058345,56.119696442131534,11.596549739058345
BMP31_18,368557200.0,28.810772343512987,28.50660054707867,28.810772343512987,28.50660054707867
BMP32_18,368557200.0,55.806019277058645,11.511001421311194,55.806019277058645,11.511001421311194
BMP33_18,73711440.0,9.600422324958139,9.495863269933842,9.600422324958139,9.495863269933842
BMP34_18,515980080.0,60.78683244367059,19.942263403724926,60.78683244367059,19.942263403724926
BMP26_19,24531936.0,7.6603752540107335,10.279729373124082,7.6603752540107335,10.279729373124082
BMP27_19,674628240.0,26.915099118285454,25.521405039813825,26.915099118285454,25.521405039813825
BMP28_19,331181136.0,74.63676586198072,30.19670503355199,74.63676586198072,30.19670503355199
BMP29_19,306649200.0,77.00901110193242,36.90818219158204,77.00901110193242,36.90818219158204
BMP30_19,183989520.0,58.35723290281209,12.058913303087865,58.35723290281209,12.058913303087865
BMP31_19,306649200.0,29.959480509556816,29.64318114422992,29.959480509556816,29.64318114422992
BMP32_19,306649200.0,58.03104918231873,11.969954106589675,58.03104918231873,11.969954106589675
BMP33_19,61329840.0,9.983198718130117,9.874470811298998,9.983198718130117,9.874470811298998
BMP34_19,429308880.0,63.21045128954664,20.73737713924454,63.21045128954664,20.73737713924454
BMP26_20,7558320.0,7.69210373407635,10.322306946373425,7.69210373407635,10.322306946373425
BMP27_20,207853800.0,27.026578668245033,25.627112053400175,27.026578668245033,25.627112053400175
BMP28_20,102037320.0,74.94590360775551,30.321776654971934,74.94590360775551,30.321776654971934
BMP29_20,94479000.0,77.32797444153398,37.0610520555369,77.32797444153398,37.0610520555369
BMP30_20,56687400.0,58.59894251095067,12.108860071707285,58.59894251095067,12.108860071707285
BMP31_20,94479000.0,30.083569571594087,29.76596012709029,30.083569571594087,29.76596012709029
BMP32_20,94479000.0,58.27140777130613,12.019532415440592,58.27140777130613,12.019532415440592
BMP33_20,18895800.0,10.024548092151115,9.915369845602934,10.024548092151115,9.915369845602934
BMP34_20,132270600.0,63.47226242505582,20.823269205280237,63.47226242505582,20.823269205280237
BMP26_21,24984960.0,7.370169840306774,9.890292430863285,7.370169840306774,9.890292430863285
BMP27_21,687086400.0,25.895448355039157,24.55455293893173,25.895448355039157,24.55455293893173
BMP28_21,337296960.0,71.80922898600834,29.0527340156609,71.80922898600834,29.0527340156609
BMP29_21,312312000.0,74.09160416236139,35.50995378542645,74.09160416236139,35.50995378542645
BMP30_21,187387200.0,56.146429338285415,11.602073813128083,56.146429338285415,11.602073813128083
BMP31_21,312312000.0,28.82449649802559,28.52017980784518,28.82449649802559,28.52017980784518
BMP32_21,312312000.0,55.83260275153687,11.516484744014843,55.83260275153687,11.516484744014843
BMP33_21,62462400.0,9.604995533819151,9.500386671569636,9.604995533819151,9.500386671569636
BMP34_21,437236800.0,60.81578855324106,19.95176299995305,60.81578855324106,19.95176299995305
BMP26_22,12089616.0,2.9697067572285425,3.985154874216367,2.9697067572285425,3.985154874216367
BMP27_22,332464440.0,10.434208387010738,9.89391335117948,10.434208387010738,9.89391335117948
BMP28_22,163209816.0,28.934523514622875,11.706392443010579,28.934523514622875,11.706392443010579
BMP29_22,151120200.0,29.854174639442032,14.308238750311457,29.854174639442032,14.308238750311457
BMP30_22,90672120.0,22.623417670551376,4.674893217830737,22.623417670551376,4.674893217830737
BMP31_22,151120200.0,11.614427330528661,11.491807180552772,11.614427330528661,11.491807180552772
BMP32_22,151120200.0,22.49696564088874,4.640406300650019,22.49696564088874,4.640406300650019
BMP33_22,30224040.0,3.8701984836139713,3.82804780705976,3.8701984836139713,3.82804780705976
BMP34_22,211568280.0,24.50487059674391,8.039283582794171,24.50487059674391,8.039283582794171
BMP26_23,971520.0,5.84573627759179,7.844600940252209,5.84573627759179,7.844600940252209
BMP27_23,26716800.0,20.539277269525737,19.475730411280004,20.539277269525737,19.475730411280004
BMP28_23,13115520.0,56.956328557542726,23.043515261990866,56.956328557542726,23.043515261990866
BMP29_23,12144000.0,58.766621082216304,28.16513452971322,58.766621082216304,28.16513452971322
BMP30_23,7286400.0,44.53319610697023,9.202320333757399,44.53319610697023,9.202320333757399
BMP31_23,12144000.0,22.862486009523504,22.62111367290036,22.862486009523504,22.62111367290036
BMP32_23,12144000.0,44.284280884827616,9.13443436408214,44.284280884827616,9.13443436408214
BMP33_23,2428800.0,7.61831437466801,7.535342633953805,7.61831437466801,7.535342633953805
BMP34_23,17001600.0,48.236752897031614,15.824973819854938,48.236752897031614,15.824973819854938
BMP26_24,14289264.0,7.75,10.4,7.75,10.4
BMP27_24,392954760.0,27.23,25.82,27.23,25.82
BMP28_24,192905064.0,75.51,30.55,75.51,30.55
BMP29_24,178615800.0,77.91,37.34,77.91,37.34
BMP30_24,107169480.0,59.04,12.2,59.04,12.2
BMP31_24,178615800.0,30.31,29.99,30.31,29.99
BMP32_24,178615800.0,58.71,12.11,58.71,12.11
BMP33_24,35723160.0,10.1,9.99,10.1,9.99
BMP34_24,250062120.0,63.95,20.98,63.95,20.98
BMP26_25,8333424.0,7.328622487826009,9.83453856430845,7.328622487826009,9.83453856430845
BMP27_25,229169160.0,25.749469721742223,24.416133243311943,25.749469721742223,24.416133243311943
BMP28_25,112501224.0,71.404423749128,28.888957032656077,71.404423749128,28.888957032656077
BMP29_25,104167800.0,73.67393264858379,35.30977596069977,73.67393264858379,35.30977596069977
BMP30_25,62500680.0,55.82991892661259,11.536670238900298,55.82991892661259,11.536670238900298
BMP31_25,104167800.0,28.662006142710496,28.35940495611639,28.662006142710496,28.35940495611639
BMP32_25,104167800.0,55.51786145293742,11.451563655170705,55.51786145293742,11.451563655170705
BMP33_25,20833560.0,9.550849951876476,9.446830793984752,9.550849951876476,9.446830793984752
BMP34_25,145834920.0,60.47295588341591,19.839290296076086,60.47295588341591,19.839290296076086
BMP26_26,2750880.0,6.379555501474333,8.560951898752654,6.379555501474333,8.560951898752654
BMP27_26,75649200.0,22.4148769425995,21.254209425557068,22.4148769425995,21.254209425557068
BMP28_26,37136880.0,62.15744979565509,25.147796202585923,62.15744979565509,25.147796202585923
BMP29_26,34386000.0,64.13305407998261,30.737109990329245,64.13305407998261,30.737109990329245
BMP30_26,20631600.0,48.599865394457375,10.042655111998306,48.599865394457375,10.042655111998306
BMP31_26,34386000.0,24.950235774153168,24.68682186957616,24.950235774153168,24.68682186957616
BMP32_26,34386000.0,48.32821980536234,9.968569951336022,48.32821980536234,9.968569951336022
BMP33_26,6877200.0,8.314001363211712,8.223452833513367,8.314001363211712,8.223452833513367
BMP34_26,48140400.0,52.64162249281079,17.270074118829875,52.64162249281079,17.270074118829875
BMP26_27,11092224.0,4.964156210014146,6.661577365696402,4.964156210014146,6.661577365696402
BMP27_27,305036160.0,17.441803044991637,16.538646882911642,17.441803044991637,16.538646882911642
BMP28_27,149745024.0,48.366894892666856,19.56838351173318,48.366894892666856,19.56838351173318
BMP29_27,138652800.0,49.90418197705833,23.917624887990737,49.90418197705833,23.917624887990737
BMP30_27,83191680.0,37.81726227603034,7.814542678990009,37.81726227603034,7.814542678990009
BMP31_27,138652800.0,19.41465480329403,19.209683192041833,19.41465480329403,19.209683192041833
BMP32_27,138652800.0,37.60588530192651,7.7568944133253295,37.60588530192651,7.7568944133253295
BMP33_27,27730560.0,6.4694164801474665,6.398957488779525,6.4694164801474665,6.398957488779525
BMP34_27,194113920.0,40.96229543618124,13.438451262722165,40.96229543618124,13.438451262722165
BMP26_28,1438800.0,5.48172969135962,7.356127585824523,5.48172969135962,7.356127585824523
BMP27_28,39567000.0,19.26032251557709,18.26300137172973,19.26032251557709,18.26300137172973
BMP28_28,19423800.0,53.40973019284709,21.608624783359534,53.40973019284709,21.608624783359534
BMP29_28,17985000.0,55.10729809726813,26.41132731295074,55.10729809726813,26.41132731295074
BMP30_28,10791000.0,41.76017044875768,8.629303514140306,41.76017044875768,8.629303514140306
BMP31_28,17985000.0,21.43886799291743,21.21252560566129,21.43886799291743,21.21252560566129
BMP32_28,17985000.0,41.52675486189978,8.565644717724515,41.52675486189978,8.565644717724515
BMP33_28,3597000.0,7.143931597771892,7.0661264021525945,7.143931597771892,7.0661264021525945
BMP34_28,25179000.0,45.23311145321906,14.839572764480623,45.23311145321906,14.839572764480623
BMP26_29,26504016.0,5.254327925915072,7.05096908767958,5.254327925915072,7.05096908767958
BMP27_29,728860440.0,18.46133540937644,17.50538671575834,18.46133540937644,17.50538671575834
BMP28_29,357804216.0,51.19410344333511,20.71222169505877,51.19410344333511,20.71222169505877
BMP29_29,331300200.0,52.82125015587655,25.315690935957264,52.82125015587655,25.315690935957264
BMP30_29,198780120.0,40.027809128519465,8.27132912208566,40.027809128519465,8.27132912208566
BMP31_29,331300200.0,20.549507023804622,20.332554128799096,20.549507023804622,20.332554128799096
BMP32_29,331300200.0,39.804076455545015,8.210311120365358,39.804076455545015,8.210311120365358
BMP33_29,66260040.0,6.8475757486118995,6.772998190953751,6.8475757486118995,6.772998190953751
BMP34_29,463820280.0,43.356680111260495,14.22397417879977,43.356680111260495,14.22397417879977
BMP26_30,4237728.0,6.274591821585118,8.420097412191643,6.274591821585118,8.420097412191643
BMP27_30,116537520.0,22.046081974421003,20.904511075268097,22.046081974421003,20.904511075268097
BMP28_30,57209328.0,61.13476496101836,24.73403614831295,61.13476496101836,24.73403614831295
BMP29_30,52971600.0,63.07786436383181,30.23138820877269,63.07786436383181,30.23138820877269
BMP30_30,31782960.0,47.800245309211014,9.877421964301734,47.800245309211014,9.877421964301734
BMP31_30,52971600.0,24.539726208031603,24.280646287656474,24.539726208031603,24.280646287656474
BMP32_30,52971600.0,47.53306914132416,9.804555736696228,47.53306914132416,9.804555736696228
BMP33_30,10594320.0,8.17720998683996,8.08815126421101,8.17720998683996,8.08815126421101
BMP34_30,74160240.0,51.77550283746688,16.985927279594293,51.77550283746688,16.985927279594293
BMP26_31,4851264.0,6.069990146518052,8.145535164359709,6.069990146518052,8.145535164359709
BMP27_31,133409760.0,21.327204088991813,20.222857494593047,21.327204088991813,20.222857494593047
BMP28_31,65492064.0,59.14128464046169,23.927509545306645,59.14128464046169,23.927509545306645
BMP29_31,60640800.0,61.021023524544695,29.245604138191492,61.021023524544695,29.245604138191492
BMP30_31,36384480.0,46.24157654844203,9.555339327421965,46.24157654844203,9.555339327421965
BMP31_31,60640800.0,23.73953565689834,23.488903805687272,23.73953565689834,23.488903805687272
BMP32_31,60640800.0,45.98311245188062,9.484849119268851,45.98311245188062,9.484849119268851
BMP33_31,12128160.0,7.9105678038493314,7.824413104995528,7.9105678038493314,7.824413104995528
BMP34_31,84897120.0,50.08720901546186,16.43205074502564,50.08720901546186,16.43205074502564
BMP26_32,7959600.0,4.479001631844903,6.010531222088645,4.479001631844903,6.010531222088645
